"Study_Code","Sample_ID","Randomized_ID","Dilution_Factor","Instrument_MakeModel","Method_Deviation","Method_Notes","toc_percent","tn_percent","date_run"
"S19S","S19S_0063_BULK-D",116,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,2.52,0.1,"10/14/2022"
"S19S","S19S_0030_BULK-M",117,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,1.45,0.16,"10/14/2022"
"S19S","S19S_0070_BULK-D",118,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.85,0.13,"10/14/2022"
"S19S","S19S_0035_BULK-D",119,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.61,0.15,"10/14/2022"
"S19S","S19S_0067_BULK-U",120,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,1.19,0.12,"10/14/2022"
"S19S","S19S_0067_BULK-D",121,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,22.63,1.65,"11/10/2022"
"S19S","S19S_0064_BULK-U",122,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.82,0.15,"10/17/2022"
"S19S","S19S_0093_BULK-U",123,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.43,0.08,"10/17/2022"
"S19S","S19S_0069_BULK-M",124,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.33,0.07,"12/19/2022"
"S19S","S19S_0061_BULK-U",125,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,3.95,0.33,"11/10/2022"
"S19S","S19S_0067_BULK-M",126,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,13.66,1.02,"11/10/2022"
"S19S","S19S_0073_BULK-M",127,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,7.25,0.41,"11/10/2022"
"S19S","S19S_0061_BULK-M",128,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,5.14,0.34,"11/10/2022"
"S19S","S19S_0071_BULK-D",129,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,4.7,0.26,"12/19/2022"
"S19S","S19S_0093_BULK-M",130,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.56,0.12,"10/17/2022"
"S19S","S19S_0019_BULK-U",131,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.51,0.12,"10/17/2022"
"S19S","S19S_0085_BULK-U",132,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.19,0.05,"12/19/2022"
"S19S","S19S_0085_BULK-D",133,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.17,0.14,"10/17/2022"
"S19S","S19S_0056_BULK-D",134,1,"VarioIsotope Cube and Isoprime precisION IRMS (Elementar GmbH)",NA,NA,0.6,0.1,"10/17/2022"
