No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
143,,R22,20mg150sIRMS_delay,9.958,623,2801,1.0053,0.9445,0.17,0.97,5.8949,,10/13/2023 22:25
144,,R22-rep,20mg150sIRMS_delay,10.17,647,2774,1.0053,0.9445,0.17,0.94,5.6261,,10/13/2023 22:38
145,"Nu,Cu",MT,20mg150sIRMS_delay,100,32,38,1.0053,0.9445,0,0,1.5658,,10/13/2023 22:51
146,,aspartic,20mg150sIRMS_delay,0.439,1764,4738,1.003,0.9132,10.52,36.09,3.4306,,10/13/2023 23:04
147,,aspartic,20mg150sIRMS_delay,0.452,1420,3772,1.2821,1.1808,10.52,36.09,3.4306,,10/13/2023 23:18
148,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.052,441,848,1.1426,1.047,25.48,62.69,2.4607,,10/13/2023 23:31
149,"Nu,Cu",moran-med,20mg150sIRMS_delay,0.045,358,769,1.1426,1.047,23.9,65.75,2.7511,,10/13/2023 23:44
150,Cu,MT,20mg150sIRMS_delay,100,28047,242,1.1426,1.047,0.83,0.01,0.0111,"red tube, ash cruc",10/16/2023 17:37
151,"Nu,Cu",MT,20mg150sIRMS_delay,100,80,95,1.1426,1.047,0,0,1.5086,,10/16/2023 17:51
152,"Nu,Cu",MT,20mg150sIRMS_delay,100,42,83,1.1426,1.047,0,0,2.5134,,10/16/2023 18:04
153,,runin,20mg150sIRMS_delay,0.582,2241,5220,1.1426,1.047,11.48,34.39,2.996,,10/16/2023 18:19
154,,runin,20mg150sIRMS_delay,0.42,1916,4656,1.1426,1.047,13.6,42.51,3.1252,,10/16/2023 18:33
155,,aspartic,20mg150sIRMS_delay,0.526,2254,5489,0.9408,0.9443,10.52,36.09,3.4306,,10/16/2023 18:46
156,,aspartic,20mg150sIRMS_delay,0.436,1794,4721,0.9796,0.9102,10.52,36.09,3.4306,,10/16/2023 19:00
157,"Nu,Cu",moran-LOW,20mg150sIRMS_delay,0.044,324,617,0.9602,0.9272,18.62,47.75,2.5651,,10/16/2023 19:13
158,"Nu,Cu",moran-MED,20mg150sIRMS_delay,0.056,505,820,0.9602,0.9272,22.79,49.87,2.1882,,10/16/2023 19:26
159,Cu,R23,20mg150sIRMS_delay,10.287,634,592,0.9602,0.9272,0.16,0.2,1.2588,,10/17/2023 6:27
160,Cu,R24,20mg150sIRMS_delay,10.164,679,1142,0.9602,0.9272,0.17,0.38,2.2693,,10/17/2023 6:41
161,,R25,20mg150sIRMS_delay,10.13,775,3902,0.9602,0.9272,0.19,1.31,6.7926,,10/17/2023 6:54
162,"Nu,Cu",R26,20mg150sIRMS_delay,10.414,606,469,0.9602,0.9272,0.15,0.15,1.0436,,10/17/2023 7:07
163,"Nu,Cu",R27,20mg150sIRMS_delay,10.095,422,1300,0.9602,0.9272,0.11,0.44,4.152,,10/17/2023 7:20
164,,R28,20mg150sIRMS_delay,10.414,1739,36371,0.9602,0.9272,0.42,11.94,28.531,,10/17/2023 7:33
165,,R29,20mg150sIRMS_delay,10.275,855,2605,0.9602,0.9272,0.21,0.86,4.1223,,10/17/2023 7:46
166,,R30,20mg150sIRMS_delay,10.441,1905,30114,0.9602,0.9272,0.46,9.85,21.5386,,10/17/2023 8:00
167,,R31,20mg150sIRMS_delay,10.427,2098,33160,0.9602,0.9272,0.5,10.84,21.4934,,10/17/2023 8:13
168,,R32,20mg150sIRMS_delay,10.293,816,2337,0.9602,0.9272,0.2,0.77,3.8759,,10/17/2023 8:26
169,Cu,R33,20mg150sIRMS_delay,10.395,660,1642,0.9602,0.9272,0.16,0.54,3.357,,10/17/2023 8:39
170,,R34,20mg150sIRMS_delay,10.11,993,5465,0.9602,0.9272,0.25,1.84,7.4425,,10/17/2023 8:52
171,,R34-rep,20mg150sIRMS_delay,10.431,1020,5584,0.9602,0.9272,0.25,1.82,7.4018,,10/17/2023 9:05
172,"Nu,Cu",MT,20mg150sIRMS_delay,100,39,92,0.9602,0.9272,0,0,3.2305,,10/17/2023 9:19
173,,aspartic,20mg150sIRMS_delay,0.497,1967,5548,1.0185,0.8826,10.52,36.09,3.4306,,10/17/2023 9:32
174,,aspartic,20mg150sIRMS_delay,0.467,1773,5138,1.0615,0.8956,10.52,36.09,3.4306,,10/17/2023 9:45
175,,R35,20mg150sIRMS_delay,9.941,718,3887,1.04,0.8891,0.2,1.27,6.4553,,10/17/2023 9:58
176,"Nu,Cu",R36,20mg150sIRMS_delay,9.739,382,443,1.04,0.8891,0.11,0.15,1.3839,,10/17/2023 10:11
177,Cu,R37,20mg150sIRMS_delay,9.866,692,1523,1.04,0.8891,0.19,0.5,2.6324,,10/17/2023 10:24
178,"Nu,Cu",R38,20mg150sIRMS_delay,10.378,463,983,1.04,0.8891,0.12,0.31,2.5338,,10/17/2023 10:37
179,"Nu,Cu",R39,20mg150sIRMS_delay,10.055,530,1516,1.04,0.8891,0.14,0.49,3.4114,,10/17/2023 10:51
180,Cu,R40,20mg150sIRMS_delay,9.931,655,665,1.04,0.8891,0.18,0.22,1.2126,,10/17/2023 11:04
